version,seed,w2,w3,Phi,Phi_late,mean_abs_residual,corr_ra_density,corr_ra_ea,mean_alive,mean_alive_late,ratio_late,late_min_type_frac,late_R_vote_disc,late_E_vote_disc,late_death_gap,corr_loss_r_e,late_segregation,goal_frac_drift,phi_late_gt_0.2,mean_coexistence_barrier,late_min_soft_rho
original,1096812628,1.4974,1.4974,0.00013858518964119184,7.152557373028992e-09,0.01666035658121109,0.9987474802727278,0.9944631031516389,399.5775,400.0,0.9704433497536946,0.49249999999999994,0.4569298667390831,-0.1713909436017275,0.0,-0.896062966171508,0.5300000000000001,0.0,False,0.0,0.4924916441917419
original,42,1.4974,1.4974,0.00698383966824079,0.05550178169579427,1.6945171452760697,0.9983723853099828,0.9951413080884337,376.1995,228.7075,1.189321782415163,0.4544982087672052,0.9685833894275129,2.3097411086410284,0.012300687162205576,0.924778816027713,0.5243406969763943,0.0,False,0.0,0.2602732136249542
original,7,1.4974,1.4974,2.650602537709884e-05,9.53674316403866e-09,0.004043809413909912,0.9993596840146857,0.9972460385405574,399.785,400.0,1.0408163265306123,0.49000000000000016,1.324589403960854,-1.1661202768376098,0.0,-0.8762755592829878,0.4874999999999999,0.0,False,0.0,0.4899998435974122
A,1096812628,1.4974,1.4974,0.2049999815181932,0.5067676696125489,43.433262370288375,0.18249151841431124,0.12550189670107334,310.3875,197.145,1358.6206896551726,0.0007323232323232325,2.640149683787905,nan,0.07758620689655173,0.9449035770975149,0.9986057692307692,0.0,True,0.0,0.005351864725351334
A,42,1.4974,1.4974,0.16102572142138838,0.4908505106947214,35.36299024534225,0.4114557581479202,0.3749149199910205,325.641,196.1275,51.09229747675963,0.019149479766032096,2.7045265762507915,0.17073870764838325,0.1511730874067871,0.9126580578854164,0.9566306628768431,0.0,True,0.0,0.01192658141851425
A,7,1.4974,1.4974,2.3879805054824944e-05,9.53674316403866e-09,0.0030913078188896177,0.9996369989241403,0.9984583424258,399.77775,400.0,1.0408163265306123,0.49000000000000016,1.323621482104063,-1.1768525930028408,0.0,-0.8723442271052875,0.4874999999999999,0.0,False,0.0,0.4899978271484375
F,1096812628,1.4974,1.4974,0.19332822607464062,0.5059595888044743,40.97044197626412,0.26770630291567593,0.21096212849656745,314.69475,197.305,645.9016393442623,0.0015404040404040403,2.67834373917736,nan,0.05327868852459016,0.9456038245158688,0.9970673076923076,0.0,True,0.02754513861401938,0.006129406721144914
F,42,1.4974,1.4974,0.13697188864097865,0.487393328895966,30.08779806536436,0.43726880371105437,0.40128740737775487,336.48425,197.4575,43.12458100558659,0.022606661564821887,2.7219246691465377,2.788533420273752,0.1438086770969676,0.9397293221785065,0.9485990410346161,0.0,True,0.022545144103700294,0.013610751782357693
F,7,1.4974,1.4974,2.3879805054824944e-05,9.53674316403866e-09,0.0030913078188896177,0.9996369989241403,0.9984583424258,399.77775,400.0,1.0408163265306123,0.49000000000000016,1.3503399215824903,-1.1857143326010555,0.0,-0.8723193413033344,0.4874999999999999,0.0,False,0.013872576844412834,0.4899979172706604
