version,seed,f_init,Phi,mean_abs_residual,corr_ra_density,corr_ra_ea,mean_alive,ratio_late,late_R_vote_disc,late_E_vote_disc,late_death_gap,corr_loss_r_e,late_segregation,goal_frac_drift
original,1096812628,0.4925000071525574,0.06915252752015018,17.13831058472395,0.9778334404111069,0.9341043429542909,270.665,1.491223021582734,0.8889167189598084,2.256697787344456,0.01518567893654108,0.7609806452474299,0.5446250097353429,0.0
original,42,0.49000000953674316,0.024939785379160858,6.426547659635544,0.9895855073608708,0.9672080398007439,294.295,1.181164998716962,0.3172403488657437,3.122060310840607,0.03128663897514343,0.8833182338416216,0.5085603167161504,0.0
original,7,0.5099999904632568,0.001963750217135027,0.6448510444164276,0.9968707294441658,0.9863710898958699,385.965,1.053359407738511,1.1002799656358548,-0.38149827101733536,0.00029330664547160267,0.2288680154442028,0.48712126434615877,0.0
A,1096812628,0.4925000071525574,0.1009391361024664,27.678260429799558,0.8108970632644829,0.5872894015529394,292.09,1.9231205673758864,1.8358752034604549,-0.26346060931682586,0.02032900898484513,0.7514009413926104,0.5407637228995981,0.0
A,42,0.49000000953674316,0.04127286072910082,14.285646771192551,0.709036679889597,0.3880124529768546,361.305,1.361865618298785,1.3240302320569755,1.004928561183624,0.005214759334921837,0.8606459879421153,0.4812721797887235,0.0
A,7,0.5099999904632568,0.004910544092614014,1.7834721225500108,0.9934508862568389,0.972378011028565,382.1975,1.0563539025077486,1.4302065044641494,-1.124169598892331,0.0005464556001243181,0.3047276528467259,0.49019702625718364,0.0
B,1096812628,0.4925000071525574,0.030317998468881894,8.825805079787969,0.9341974462879931,0.8282557095044477,324.5375,1.3467809364548495,1.7224372692406178,-0.9579633362591267,0.006468089390546083,-0.015110495188736832,0.5523881451776556,0.0
B,42,0.49000000953674316,0.004834351963977344,1.6513763922452926,0.9827228253269249,0.9359423437021968,382.5825,0.9523872503637085,0.7381885884329676,-0.5308289710432291,0.016492059407755732,0.6034850097091737,0.5225850175585631,0.0
B,7,0.5099999904632568,0.011998969688668011,4.541521294713021,0.9789495972833733,0.9007476366981503,388.5275,0.9489795918367347,1.304125817073509,-1.3085026733577252,0.0,0.5961884603075852,0.5087956698240866,0.0
C,1096812628,0.4925000071525574,0.4358937330719165,173.71406591013073,0.9997266410349485,0.6043498551864248,397.3475,13.285714285714286,0.4865829324815422,-0.2893901042640209,0.0,-0.9775165386419835,0.9175000000000001,0.4375
C,42,0.49000000953674316,0.16462104261008306,61.514846445322036,0.9852701015041996,0.835850096200712,373.14,1.9964559952746606,0.6721585038118064,-0.1309310769287549,-0.01218363493680954,0.10883327969055538,0.8043122877680098,0.1499999761581421
C,7,0.5099999904632568,0.20862170354418175,82.99905378222465,0.997995481637808,0.9669707467142076,396.905,2.5670840787119857,1.2716880798339845,-0.9094862666272092,-0.003692307695746422,-0.16761521851595032,0.8390675145762294,0.20749998092651367
D_fixed,1096812628,0.4925000071525574,0.03579881357783348,10.132379634827375,0.9417468861282384,0.8490844314538686,315.2425,1.3691448216587883,1.763848901540041,-0.9700257554650307,0.009302857052534818,-0.10614869226028181,0.5501922410116408,0.0
D_fixed,42,0.49000000953674316,0.011981716392876832,4.360528402924538,0.9487826391645795,0.7889408853486775,388.4025,0.8521568145508172,0.6707873068749904,-0.7862888824194669,0.006306994083570316,0.8386833943341758,0.534014575897914,0.0
D_fixed,7,0.5099999904632568,0.01769691246623523,6.540121377110482,0.961454818716144,0.8511543920353357,383.6875,0.9267857142857143,1.2606824811547994,-1.2362030677497386,0.00011388429556973279,0.8999741126325902,0.5135828523315288,0.0
D,1096812628,0.4925000071525574,0.5008405929767088,199.20620341524483,0.9993617365334859,-0.6574455793605019,396.6325,199.0,0.5423376625753008,nan,0.0,-0.9752149075245684,0.99,0.5024999976158142
D,42,0.49000000953674316,0.1656032651795973,63.20307136714459,0.9787914623221973,0.8128564907573731,381.3375,1.9745845552297165,0.6172757141379407,-0.11626275390590309,-0.021198358933907,0.016269460471748882,0.7994353891857052,0.14249998331069946
D,7,0.5099999904632568,0.3335170799945004,132.83085377812387,0.9995634720402513,0.9510551448266205,396.475,5.482562854825629,1.237718940898776,-1.0687177265062928,-0.0010086455033160747,-0.880852425265626,0.8847973008984316,0.33500003814697266
