version,seed,w2,w3,Phi,Phi_late,mean_abs_residual,corr_ra_density,corr_ra_ea,mean_alive,mean_alive_late,ratio_late,late_R_vote_disc,late_E_vote_disc,late_death_gap,corr_loss_r_e,late_segregation,goal_frac_drift
original,1096812628,1.4974,1.4974,0.00013858518964119184,7.152557373028992e-09,0.01666035658121109,0.9987474802727278,0.9944631031516389,399.5775,400.0,0.9704433497536946,0.4569298667390831,-0.1713909436017275,0.0,-0.896062966171508,0.5300000000000001,0.0
original,42,1.4974,1.4974,0.00698383966824079,0.05550178169579427,1.6945171452760697,0.9983723853099828,0.9951413080884337,376.1995,228.7075,1.189321782415163,0.9685833894275129,2.3097411086410284,0.012300687162205576,0.924778816027713,0.5243406969763943,0.0
original,7,1.4974,1.4974,2.650602537709884e-05,9.53674316403866e-09,0.004043809413909912,0.9993596840146857,0.9972460385405574,399.785,400.0,1.0408163265306123,1.324589403960854,-1.1661202768376098,0.0,-0.8762755592829878,0.4874999999999999,0.0
A,1096812628,1.4974,1.4974,0.2049999815181932,0.5067676696125489,43.433262370288375,0.18249151841431124,0.12550189670107334,310.3875,197.145,1358.6206896551726,2.640149683787905,nan,0.07758620689655173,0.9449035770975149,0.9986057692307692,0.0
A,42,1.4974,1.4974,0.16102572142138838,0.4908505106947214,35.36299024534225,0.4114557581479202,0.3749149199910205,325.641,196.1275,51.09229747675963,2.7045265762507915,0.17073870764838325,0.1511730874067871,0.9126580578854164,0.9566306628768431,0.0
A,7,1.4974,1.4974,2.3879805054824944e-05,9.53674316403866e-09,0.0030913078188896177,0.9996369989241403,0.9984583424258,399.77775,400.0,1.0408163265306123,1.323621482104063,-1.1768525930028408,0.0,-0.8723442271052875,0.4874999999999999,0.0
B,1096812628,1.4974,1.4974,0.017214526689454467,0.07171654071878797,6.176839689031243,0.54801408240548,0.3350581519656305,386.54875,344.9375,1.2946879989356042,0.853121651095571,-0.374586149379611,0.0014799208735348658,0.9020906054004912,0.5774103460437877,0.0
B,42,1.4974,1.4974,0.0364059309495138,0.2105587650264902,11.060241065740586,0.21889886374744433,0.13916364413325424,377.013,280.0275,2.2993902618633832,2.0811388116702436,-0.33681636697612705,0.11978003806550987,0.5918335784658794,0.6552810479886412,0.0
B,7,1.4974,1.4974,2.3879805054824944e-05,9.53674316403866e-09,0.0030913078188896177,0.9996369989241403,0.9984583424258,399.77775,400.0,1.0408163265306123,1.3054015887342394,-1.1499561964685563,0.0,-0.9424093989729947,0.4874999999999999,0.0
C,1096812628,1.4974,1.4974,0.003018817899579338,0.005615610015348387,1.2031427668184043,0.995014791135532,0.9809654442780098,399.63325,399.9975,0.9924907535398065,0.5851845218840753,-0.30074582580477,1.1214506812393666e-05,0.7494007676985782,0.8175039886934675,0.007499992847442627
C,42,1.4974,1.4974,0.22247641974185517,0.22250000953618695,88.96078631311656,0.9990488040045323,0.9983004817376084,399.83425,400.0,0.3651877133105802,0.6240803228318691,-0.01985106187922611,0.0,0.9663211644378,0.84,-0.2224999964237213
C,7,1.4974,1.4974,0.10248951880916397,0.10249999046300061,40.97881118738651,0.9992095520676071,0.9977796012847926,399.7815,400.0,0.6877637130801688,1.2657231847383081,-1.1576188323448877,0.0,0.9794117967994105,0.8125,-0.10249999165534973
D_fixed,1096812628,1.4974,1.4974,0.019501234814056828,0.051659843220029346,6.901892440244556,0.9145853794234509,0.8173909118115319,376.80375,327.0175,1.1937177165090227,1.1392633645236492,-0.5729503314197063,0.002734944695257582,0.944167830907607,0.6129122960336088,0.0
D_fixed,42,1.4974,1.4974,6.837251864801912e-05,9.53674316403866e-09,0.008653810262680054,0.9947169656225139,0.9797441394607708,399.8135,400.0,0.9607843137254902,0.5346172173321248,-0.5510541321523488,0.0,0.0007509976568282571,0.5024999999999998,0.0
D_fixed,7,1.4974,1.4974,0.00012322559939449828,9.53674316403866e-09,0.017666309416294098,0.9955689112095032,0.9842056067502456,399.67575,400.0,1.0408163265306123,1.2924363458901644,-1.1017375229892787,0.0,0.05828525894928543,0.4874999999999999,0.0
D,1096812628,1.4974,1.4974,0.19227122197210325,0.19249999284696132,76.83100277005136,0.9999204019347616,0.9990475339000855,399.22225,400.0,2.1746031746031744,0.5712076514028013,-0.3410044629871845,0.0,-0.1251586574410487,0.875,0.19249999523162842
D,42,1.4974,1.4974,0.2874455007345015,0.28750000953602445,114.94276881301403,0.9999718883485114,0.999959599368698,399.8235,400.0,0.25391849529780564,0.541223712824285,-0.02386858680343721,0.0,0.9737074346583187,0.8625000000000002,-0.2875000089406967
D,7,1.4974,1.4974,0.10498781493275555,0.10499999046299432,41.96844118845463,0.9987612039436397,0.9965424955540875,399.6695,400.0,0.680672268907563,1.1353374724167224,-1.1119567021972034,0.0,0.8311940242796483,0.8425,-0.10499998927116394
