version,seed,w2,w3,Phi,Phi_late,mean_abs_residual,corr_ra_density,corr_ra_ea,mean_alive,mean_alive_late,late_R_vote_disc,late_E_vote_disc,late_death_gap,corr_loss_r_e
original,1096812628,2.8982,0.0966,0.17913583000514274,0.22727001315262363,34.1960060916543,0.8553154271799891,0.6783091643588541,197.19,187.95,5.489001958351964,5.207645622342825,0.02203471936751157,0.7787614766276275
original,42,2.8982,0.0966,0.14271027855450144,0.21231244595380092,17.98567118626833,0.9702421401199276,0.9126843515697037,142.64375,130.3425,9.507882067337633,9.900634641982615,0.05451652649033349,0.724497813761395
original,7,2.8982,0.0966,0.07264020865686813,0.12631326826587005,10.91707666003704,0.99798139645374,0.9930884633547066,202.0775,131.4675,7.5082447217963635,9.889690581780524,0.021115951784304345,0.8746908471061091
A,1096812628,2.8982,0.0966,0.3501348192641683,0.43981695272810994,73.1098978228718,-0.14968221003976342,-0.3702052234467737,217.26875,199.4575,4.073003815412521,-6.798169630765915,0.027708297027274967,0.9027518395856412
A,42,2.8982,0.0966,0.3666968315059476,0.46143670000327974,77.94053031092882,-0.04028073999838118,-0.12457173997812769,231.81475,202.86,2.605120239853859,5.811310937404633,0.07369563774205744,0.9449881840494923
A,7,2.8982,0.0966,0.20620049924322395,0.40246119995446256,47.83422196102142,-0.08340345449123483,-0.20350201982333047,275.4765,210.8575,3.81935165733099,-2.4918580377474426,0.0033462005411274733,0.9742692485094875
E,1096812628,1.4974,1.4974,0.2049999815181932,0.5067676696125489,43.433262370288375,0.18249151841431124,0.12550189670107334,310.3875,197.145,2.640149683787905,nan,0.07758620689655173,0.9449035770975149
E,42,1.4974,1.4974,0.16102572142138838,0.4908505106947214,35.36299024534225,0.4114557581479202,0.3749149199910205,325.641,196.1275,2.7045265762507915,0.17073870764838325,0.1511730874067871,0.9126580578854164
E,7,1.4974,1.4974,2.3879805054824944e-05,9.53674316403866e-09,0.0030913078188896177,0.9996369989241403,0.9984583424258,399.77775,400.0,1.323621482104063,-1.1768525930028408,0.0,-0.8723442271052875
